model_key,mae_eur,rmse_eur,r2
xgboost_regressor,1789689.3151705486,5233762.556475695,0.7260583584514255
random_forest,1893084.0808317764,5733880.042215571,0.6712034681261483
decision_tree,2205367.718872792,6731848.528183914,0.5467908252611678
