variant,mae_eur,rmse_eur,r2
xgboost_full,1634142.9810238697,4906635.790381775,0.7592326088458247
xgboost_without_current_club_competition,1677049.696952219,4930180.987061801,0.7569163508741714
delta,42906.71592834918,23545.19668002613,-0.002316257971653246
