model,r2_eur,r2_log,mae_eur,mdape,spearman,calib_ratio,range_ratio,mdape_micro,n_micro,mdape_low,n_low,mdape_mid,n_mid,mdape_high,n_high,mdape_elite,n_elite
v1-XGB (current),0.7260583584514255,0.7574359165031406,1789689.3151705486,48.08858407738096,0.8588475230067389,0.66215884,0.6527762907909292,87.26525000000001,1236,41.411822265625005,3018,45.53640052083334,2348,52.20819,910,44.029228,334
v2-XGB,0.7592326088458247,0.7851236587315468,1634142.9810238697,44.4094893543956,0.8733426622411565,0.62931308,0.723223308098267,83.3089296875,1236,40.24096050347222,3018,42.93870750000001,2348,45.51975284090909,910,38.24738381642512,334
v2-LightGBM,0.7965037296898494,0.8006460492991023,1522446.2286604797,42.762869685483565,0.8821327251009925,0.6145144101895911,0.7343792464336047,70.14114968864278,1236,39.085961526376806,3018,42.50541089439595,2348,41.72812936157585,910,33.43100525983323,334
v2-CatBoost,0.7983645047630483,0.8036612643981591,1528693.345320671,42.53271643165145,0.8843058884140224,0.7274789625630562,0.7539155825599139,71.36604213908038,1236,39.77339751807409,3018,41.23074787447074,2348,42.615586086556675,910,35.60926104996754,334
v2-XGB+Iso,0.7687884300593859,0.7600958043556714,1707068.5825639658,53.272625,0.8731477828107592,0.6275,0.8080776746865782,136.37440625,1236,54.81125035511364,3018,46.138962500000005,2348,39.172493333333335,910,35.30048,334
v2-XGB-Tweedie,0.8176095024057942,0.7613572472892614,1542083.9652549867,49.7432525,0.8728940678906738,0.74061728,0.8560608607577433,161.5850078125,1236,49.55632700892857,3018,41.698049166666664,2348,37.651069210526316,910,30.113860000000003,334
v2-Stack,0.801136968406957,0.7759666507067724,1609768.8944899319,51.36135537287603,0.882344436339132,0.7296771630414147,0.8556911550199787,126.68452808941049,1236,54.386189009499596,3018,45.28949839028989,2348,37.91099391279795,910,32.627198898686686,334
