name,position,actual_eur,predicted_eur,abs_error_eur
Bobby Zamora,Attack,8000000.0,6.6451645e+06,1354835.5
Briguel,Defender,800000.0,2.21164e+06,1411640.0
David Moses,Midfield,9000000.0,185806.47,8814193.53125
Kashif Bangnagande,Defender,700000.0,702149.9,2149.875
Lucas Pellegrini,Defender,400000.0,207426.38,192573.625
Emin Mahmudov,Midfield,1400000.0,1.2757259e+06,124274.125
Pol Freixanet,Goalkeeper,300000.0,182853.4,117146.59375
Mohamed Ali Ben Salem,Defender,400000.0,516165.8,116165.8125
Oleg Synyogub,Defender,200000.0,511312.5,311312.5
Tim Siersleben,Defender,2500000.0,2.1656138e+06,334386.25
Simone Magnaghi,Attack,425000.0,697371.06,272371.0625
Ejaita Ifoni,Attack,200000.0,477352.06,277352.0625
Alexandre Oukidja,Goalkeeper,3000000.0,1.3306351e+06,1669364.875
Asker Beck,Midfield,600000.0,709534.2,109534.1875
Kris De Wree,Defender,700000.0,428725.12,271274.875
Haruya Ide,Midfield,450000.0,1.3268564e+06,876856.375
Melih Kabasakal,Midfield,800000.0,1.2540315e+06,454031.5
Enzo Pérez,Midfield,25000000.0,1.531276e+07,9687240.0
Nikita Stoinov,Defender,1000000.0,278823.2,721176.8125
Casagrande,Defender,200000.0,243154.14,43154.140625
Antonis Anastasiou,Defender,250000.0,201705.53,48294.46875
Cüneyt Köz,Defender,350000.0,606642.56,256642.5625
Abderrazak Hamdallah,Attack,6500000.0,1.2467181e+06,5253281.875
Stefano Ferraresi,Defender,75000.0,191129.05,116129.046875
Gökay Eser,Attack,125000.0,97969.26,27030.7421875
Gary Warren,Defender,400000.0,1.0584926e+06,658492.625
Remko Pasveer,Goalkeeper,1250000.0,5.684241e+06,4434241.0
Dmitriy Golubev,Defender,250000.0,329848.03,79848.03125
Darko Lazović,Midfield,5000000.0,7.8647395e+06,2864739.5
Sultan Al-Shehri,Defender,175000.0,281928.88,106928.875
Ivan Melnikov,Midfield,200000.0,313568.72,113568.71875
Hussain Al-Zabdani,Defender,225000.0,246693.25,21693.25
Evgeniy Yablonskiy,Midfield,1200000.0,1.181475e+06,18525.0
Sakari Mattila,Midfield,500000.0,487717.72,12282.28125
Romain Donnez,Midfield,25000.0,114564.93,89564.9296875
Jakob Busk,Goalkeeper,800000.0,645020.5,154979.5
Ümran Zambak,Attack,50000.0,84157.64,34157.640625
Dani Iglesias,Midfield,350000.0,228046.2,121953.796875
Miguel Chaiwa,Midfield,1500000.0,1.2165634e+06,283436.625
Srdjan Spiridonovic,Attack,1000000.0,1.6315665e+06,631566.5
Moustafa Ava Dongo,Defender,400000.0,168226.33,231773.671875
Mohamed Belloumi,Attack,4000000.0,1.066232e+06,2933768.0
Filip Daems,Defender,3500000.0,1.7825918e+06,1717408.25
Riccardo Benatti,Attack,75000.0,218549.86,143549.859375
Ryan Giggs,Midfield,25000000.0,1.6346458e+07,8653542.0
Vicente Iborra,Midfield,10000000.0,1.4169661e+07,4169661.0
Aleksandr Golovin,Midfield,30000000.0,4.342964e+07,13429640.0
Daniel Hall,Defender,500000.0,239028.25,260971.75
Samuel Akere,Attack,1200000.0,271426.1,928573.90625
Antonio Di Gaudio,Attack,2000000.0,1.7491356e+06,250864.375
Blaz Kramer,Attack,1200000.0,1.7914076e+06,591407.625
Ayodele Thomas,Attack,1000000.0,669780.75,330219.25
Diego Poyet,Midfield,750000.0,2.35431e+06,1604310.0
Ricardo Mangas,Defender,4000000.0,1.0423033e+07,6423033.0
José Copete,Defender,5000000.0,3.1102542e+06,1889745.75
Djibril Zidnaba,Midfield,500000.0,286906.06,213093.9375
Tochukwu Raymond,Midfield,250000.0,564883.8,314883.8125
Jean-Pierre Rhyner,Defender,1250000.0,659441.4,590558.625
Filippo Boniperti,Attack,200000.0,333893.78,133893.78125
Mory Gbane,Midfield,4000000.0,2.0553052e+06,1944694.75
Dan Twardzik,Goalkeeper,150000.0,481041.84,331041.84375
Matías Pisano,Attack,3400000.0,1.1129572e+06,2287042.75
Gil,Defender,7500000.0,4.5547015e+06,2945298.5
Nikola Mijailovic,Defender,900000.0,1.2860529e+06,386052.875
